"id","type","symbol","lifecycle","owner","replacement","earliest_removal","namespace_entry"
"class:ngeo","class","ngeo","stable","core-api","","",""
"class:ngeo_artifact_manifest","class","ngeo_artifact_manifest","stable","reproducibility-engineering","","",""
"class:ngeo_artifact_validation_report","class","ngeo_artifact_validation_report","stable","reproducibility-engineering","","",""
"class:ngeo_atlas_robust_effect","class","ngeo_atlas_robust_effect","stable","neuroimaging-methods","","",""
"class:ngeo_atomic_output","class","ngeo_atomic_output","stable","core-api","","",""
"class:ngeo_batch_manifest","class","ngeo_batch_manifest","stable","reproducibility-engineering","","",""
"class:ngeo_batch_validation_report","class","ngeo_batch_validation_report","stable","core-api","","",""
"class:ngeo_bids_name","class","ngeo_bids_name","stable","io","","",""
"class:ngeo_boundary_test","class","ngeo_boundary_test","stable","core-api","","",""
"class:ngeo_brain_landscape","class","ngeo_brain_landscape","stable","statistical-methods","","",""
"class:ngeo_brain_point_process","class","ngeo_brain_point_process","stable","statistical-methods","","",""
"class:ngeo_car","class","ngeo_car","stable","statistical-methods","","",""
"class:ngeo_car_uncertainty","class","ngeo_car_uncertainty","stable","statistical-methods","","",""
"class:ngeo_common_support_test","class","ngeo_common_support_test","stable","neuroimaging-methods","","",""
"class:ngeo_coordinate_space","class","ngeo_coordinate_space","stable","core-api","","",""
"class:ngeo_coordinate_space_audit","class","ngeo_coordinate_space_audit","stable","core-api","","",""
"class:ngeo_coordinate_space_registry","class","ngeo_coordinate_space_registry","stable","core-api","","",""
"class:ngeo_coregionalization","class","ngeo_coregionalization","experimental","core-api","","",""
"class:ngeo_correlogram","class","ngeo_correlogram","stable","core-api","","",""
"class:ngeo_cortical_layout","class","ngeo_cortical_layout","stable","core-api","","",""
"class:ngeo_cortical_map","class","ngeo_cortical_map","stable","core-api","","",""
"class:ngeo_cross_atlas","class","ngeo_cross_atlas","stable","neuroimaging-methods","","",""
"class:ngeo_cross_atlas_consensus","class","ngeo_cross_atlas_consensus","stable","neuroimaging-methods","","",""
"class:ngeo_delayed_values","class","ngeo_delayed_values","stable","core-api","","",""
"class:ngeo_environment_snapshot","class","ngeo_environment_snapshot","stable","core-api","","",""
"class:ngeo_error","class","ngeo_error","stable","core-api","","",""
"class:ngeo_error_manifest","class","ngeo_error_manifest","stable","reproducibility-engineering","","",""
"class:ngeo_error_nonconvergence","class","ngeo_error_nonconvergence","stable","core-api","","",""
"class:ngeo_exchangeability","class","ngeo_exchangeability","stable","core-api","","",""
"class:ngeo_file_values","class","ngeo_file_values","stable","io","","",""
"class:ngeo_frozen_regionalization","class","ngeo_frozen_regionalization","stable","statistical-methods","","",""
"class:ngeo_getis","class","ngeo_getis","stable","core-api","","",""
"class:ngeo_gis_analysis","class","ngeo_gis_analysis","stable","statistical-methods","","",""
"class:ngeo_global_stat","class","ngeo_global_stat","stable","core-api","","",""
"class:ngeo_grayordinate","class","ngeo_grayordinate","stable","core-api","","",""
"class:ngeo_grayordinate_base","class","ngeo_grayordinate_base","stable","core-api","","",""
"class:ngeo_group_result","class","ngeo_group_result","stable","statistical-methods","","",""
"class:ngeo_gwr","class","ngeo_gwr","stable","statistical-methods","","",""
"class:ngeo_gwr_bandwidth","class","ngeo_gwr_bandwidth","stable","statistical-methods","","",""
"class:ngeo_gwr_uncertainty","class","ngeo_gwr_uncertainty","stable","statistical-methods","","",""
"class:ngeo_history_dag","class","ngeo_history_dag","stable","core-api","","",""
"class:ngeo_inference_contract","class","ngeo_inference_contract","stable","core-api","","",""
"class:ngeo_iterative_car","class","ngeo_iterative_car","stable","statistical-methods","","",""
"class:ngeo_iterative_solution","class","ngeo_iterative_solution","stable","core-api","","",""
"class:ngeo_iterative_spatial_regression","class","ngeo_iterative_spatial_regression","stable","statistical-methods","","",""
"class:ngeo_kernel_regression","class","ngeo_kernel_regression","stable","core-api","","",""
"class:ngeo_kriging","class","ngeo_kriging","stable","statistical-methods","","",""
"class:ngeo_kriging_uncertainty","class","ngeo_kriging_uncertainty","stable","statistical-methods","","",""
"class:ngeo_layer_index","class","ngeo_layer_index","stable","core-api","","",""
"class:ngeo_layer_view","class","ngeo_layer_view","stable","core-api","","",""
"class:ngeo_lisa","class","ngeo_lisa","stable","core-api","","",""
"class:ngeo_local_layer_coupling","class","ngeo_local_layer_coupling","stable","statistical-methods","","",""
"class:ngeo_logdet_estimate","class","ngeo_logdet_estimate","stable","core-api","","",""
"class:ngeo_manifest_validation_report","class","ngeo_manifest_validation_report","stable","reproducibility-engineering","","",""
"class:ngeo_maup_sensitivity","class","ngeo_maup_sensitivity","stable","neuroimaging-methods","","",""
"class:ngeo_mgwr","class","ngeo_mgwr","experimental","statistical-methods","","",""
"class:ngeo_migration_report","class","ngeo_migration_report","stable","core-api","","",""
"class:ngeo_model_calibration","class","ngeo_model_calibration","stable","statistical-methods","","",""
"class:ngeo_multiscale_inference","class","ngeo_multiscale_inference","stable","core-api","","",""
"class:ngeo_nonseparable_hotspots","class","ngeo_nonseparable_hotspots","stable","statistical-methods","","",""
"class:ngeo_null","class","ngeo_null","experimental","core-api","","",""
