task_id,phase,dependencies,external_required,status,evidence
GOV-000,Phase0,none,false,implemented-internal,tools/check-feature-freeze-60.R
EVID-001,Phase0,GOV-000,false,implemented-internal,tools/run-audit-corpus-60.R
DOC-001,Phase0,none,false,implemented-internal,tools/check-doc-entrypoints-60.R
TERM-001,Phase0,GOV-000,false,implemented-internal,tools/check-user-terminology-60.R
API-001,Phase0,EVID-001,false,implemented-internal,tests/testthat/test-audit-regressions-60.R
ENG-001,Phase0,EVID-001,false,implemented-internal,tests/testthat/test-audit-regressions-60.R
SCI-FIX-001,Phase0,EVID-001,false,implemented-internal,tests/testthat/test-support-inference.R
SCI-FIX-002,Phase0,EVID-001;TERM-001,false,implemented-internal-with-restriction,inst/spec/ADR-6.0-inference-contract.md
SCI-FIX-003,Phase0,EVID-001;TERM-001,false,implemented-internal-with-restriction,inst/spec/ADR-6.0-inference-contract.md
SCI-FIX-004,Phase0,EVID-001;TERM-001,false,implemented-internal,inst/spec/ADR-6.0-metric-kriging.md
SCI-FIX-005,Phase0,EVID-001;SCI-FIX-004,false,implemented-internal,inst/spec/ADR-6.0-metric-kriging.md
REL-001,Phase0,GOV-000,false,implemented-internal,tools/aggregate-p0-evidence-60.R
REL-002,Phase0,DOC-001;TERM-001;API-001;ENG-001;SCI-FIX-001;SCI-FIX-002;SCI-FIX-003;SCI-FIX-004;SCI-FIX-005;REL-001,true,external-evidence-pending,inst/spec/release-process-6.0.md
PAPER-001,Phase0,GOV-000,false,implemented-internal,paper/paper.md
API-101,Phase1,REL-002,false,implemented-internal,inst/spec/api-lifecycle-6.0.csv
ADR-101,Phase1,API-101,false,implemented-internal,inst/spec/ADR-6.0-lifecycle-distribution-migration.md
API-102,Phase1,API-101,false,implemented-internal,inst/spec/migration-6.0.md
API-103,Phase1,API-101,false,implemented-internal,inst/spec/migration-6.0.md
API-104,Phase1,TERM-001;API-101,false,implemented-internal,inst/spec/API-6.0.md
API-105,Phase1,ADR-101;API-104,false,implemented-internal,inst/spec/migration-6.0.md
API-106,Phase1,TERM-001,false,implemented-internal,inst/spec/ADR-6.0-metric-kriging.md
SCI-101,Phase1,REL-002,false,implemented-internal,tests/testthat/test-support-uncertainty.R
SCI-102,Phase1,API-101,false,implemented-internal,inst/spec/ADR-6.0-inference-contract.md
DOC-101,Phase1,DOC-001;TERM-001,false,implemented-internal,inst/spec/documentation-manifest-6.0.csv
