"document_id","locale","content_type","lifecycle","source","code_source","route","title","counterpart_route","translation_status","source_sha256","code_sha256","shared_code_source","shared_code_sha256","route_sha256","edit_url"
"api-index","neutral","api-index","stable","_pkgdown.yml","","/api/reference/","_pkgdown","","not-applicable","dfcd5271ecf4b28091a59ef67df853743b6224e069df137ddb1e810126658f4e","","","","d586fe2ac5655106c6310e152c928ffad42a7f42268a8da1bd8772e50910e313","https://github.com/zh1peng/neurogeo/edit/main/_pkgdown.yml"
"concepts-index","en","concept","stable","website/en/concepts/index.md","","/en/concepts/","Core concepts","/concepts/","paired","4bf830e7ad149b9b8ba071eac9686d990208b796c11caaadd5224edb1e853533","","","","adda6ed7fad63b60407a1ce92a66d8ff58bcf1905b821ee3c6a5df3ee985c774","https://github.com/zh1peng/neurogeo/edit/main/website/en/concepts/index.md"
"concepts-index","zh-CN","concept","stable","website/concepts/index.md","","/concepts/","neurogeo 6.0 核心概念","/en/concepts/","paired","9892dc783e30a0c3d20bf140dd3d04bded084e5423241ea94de6e2eba6e8d247","","","","a565acfb174830ae1aaee2dff1a870a04071bf8dd6371eacaa2c6c880b731b84","https://github.com/zh1peng/neurogeo/edit/main/website/concepts/index.md"
"core-concepts","en","concept","stable","vignettes/core-concepts.Rmd","","/en/tutorials/core-concepts","Core concepts","/modules/core-concepts","paired","094edd2ecb914e5740f9a05d68ecf3c4ea8066c7eb3d168fcb1e10458657100a","","","","a62fc98aa08fdb41a41c6d0fdc63d2326568b5d3d0c7f08a5446b40dad989ef5","https://github.com/zh1peng/neurogeo/edit/main/vignettes/core-concepts.Rmd"
"core-concepts","zh-CN","concept","stable","vignettes/core-concepts-zh.Rmd","","/modules/core-concepts","核心概念：用 DK cohort 与 Conte69 surface 理解对象契约","/en/tutorials/core-concepts","paired","5e2610e3b2dcd3faae1105076351eaefc556248362fc4610bf7f7736afbb111a","","inst/tutorial-code/brain-case-study.R","abda2dcc40d77d7b3340150f13195a07d9632b80e472586c07c3c9551f517a7c","ed2951b15b23ba85660ce1c2439158974d4cb399e0f3317a8baf03dae17eb883","https://github.com/zh1peng/neurogeo/edit/main/vignettes/core-concepts-zh.Rmd"
"glossary","en","concept","stable","website/en/glossary/index.md","","/en/glossary/","Neuroimaging user glossary","/glossary/","paired","b94a484e222f8a789126f86be2e9f4ffe35cd064bd9f3b292b6d09a120f953ce","","","","92f7a465fc645f07ed5e57c700248163a14b4dc828cfce1607177dddb6cef474","https://github.com/zh1peng/neurogeo/edit/main/website/en/glossary/index.md"
"glossary","zh-CN","concept","stable","website/glossary/index.md","","/glossary/","神经影像用户术语表","/en/glossary/","paired","2dd2c2aae4d067a0ac8120f0870cd7bc675cb519b7268d293fc712ab2fcf58e6","","","","c528fb46720e2760f15fc47c5c5e8782ce2947bbb09e9a346b7911ae38a2cbe7","https://github.com/zh1peng/neurogeo/edit/main/website/glossary/index.md"
"multilayer-data","zh-CN","concept","stable","vignettes/multilayer-data-zh.Rmd","","/modules/multilayer-data","多图层数据与严格索引：68 regions × 200 subjects × 2 modalities","","source-only","1a11ff51ecdfac554ef163fb38d2d69c8b7192e9294050ab739f19194afb9e2b","","inst/tutorial-code/brain-case-study.R","abda2dcc40d77d7b3340150f13195a07d9632b80e472586c07c3c9551f517a7c","97162e90eb82709000f411af81080ad6bcc00d2e2360af3e61fdf9df488c7fc5","https://github.com/zh1peng/neurogeo/edit/main/vignettes/multilayer-data-zh.Rmd"
"options","en","concept","stable","website/en/concepts/options.md","","/en/concepts/options","Runtime options","/concepts/options","paired","1468d3e8943042bf8a94c9a7bb753b42396c33acbe4785fadb30cee48d3bbea1","","","","8ada59858c5410421f4030f87edf2ad5ca55c4a06bf5b37b4f5465cd0623574b","https://github.com/zh1peng/neurogeo/edit/main/website/en/concepts/options.md"
"options","zh-CN","concept","stable","website/concepts/options.md","","/concepts/options","运行时选项","/en/concepts/options","paired","97b44e71a62a31b96a75a3506f2923bf055ea51e47f76c1c88c6e9f006f81658","","","","4dda7b206d36e52f59b5c825a8281d7e267beae6eea348399bb554d30c90c719","https://github.com/zh1peng/neurogeo/edit/main/website/concepts/options.md"
"advanced-spatial-methods","zh-CN","how-to","experimental","vignettes/advanced-spatial-methods-zh.Rmd","","/modules/advanced-spatial-methods","高级空间方法：从 DK68 多模态脑图到局部系数","","source-only","1100f9ac8d5201eaa400ca7baa901b992840b27117a949c525f6cc230fc57fb2","","inst/tutorial-code/brain-case-study.R","abda2dcc40d77d7b3340150f13195a07d9632b80e472586c07c3c9551f517a7c","af5f50a4840551b793389db744de859adb08fb482be344d8da55d017e15efe2e","https://github.com/zh1peng/neurogeo/edit/main/vignettes/advanced-spatial-methods-zh.Rmd"
"change-of-support","en","how-to","stable","vignettes/change-of-support.Rmd","","/en/tutorials/change-of-support","Change of support: vertex SCZ-control maps across DK and Schaefer scales","/modules/change-of-support","paired","04fc6b4e5e204d703ca63b288e3a26266f9cde71b25ace4c01d2d91a127ad597","","inst/tutorial-code/brain-case-study.R","abda2dcc40d77d7b3340150f13195a07d9632b80e472586c07c3c9551f517a7c","98a585b8f60ef1257fd4a9dc5b17178ad4d5122614dc8abfeeb31e80ddc8a5ab","https://github.com/zh1peng/neurogeo/edit/main/vignettes/change-of-support.Rmd"
"change-of-support","zh-CN","how-to","stable","vignettes/change-of-support-zh.Rmd","","/modules/change-of-support","Support 转换：vertex SCZ--HC 脑图的多 atlas 分析","/en/tutorials/change-of-support","paired","15dd908f3acf43c905c68a478d49fa45dc672190625927d4a26beaeb01059831","","inst/tutorial-code/brain-case-study.R","abda2dcc40d77d7b3340150f13195a07d9632b80e472586c07c3c9551f517a7c","ede4dd29c20df6b560ad004f4aa5730fb1b9dd21a6c9bc14d52362eb997cee04","https://github.com/zh1peng/neurogeo/edit/main/vignettes/change-of-support-zh.Rmd"
"cortical-cartography","en","how-to","stable","vignettes/cortical-cartography.Rmd","","/en/modules/cortical-cartography","Real cortical flatmaps for vertex data and arbitrary atlases","/modules/cortical-cartography","paired","94c04401439d3225f0bf76016c99f83827d1927a84145c6b85147c5bc2529fbe","","","","54aa6f2f21d6498bc7d5ca83086761cc10620adb09c1828bd98b2f55a0bdfac7","https://github.com/zh1peng/neurogeo/edit/main/vignettes/cortical-cartography.Rmd"
"cortical-cartography","zh-CN","how-to","stable","vignettes/cortical-cartography-zh.Rmd","","/modules/cortical-cartography","皮层制图：neurogeo flat-surface brain plots","/en/modules/cortical-cartography","paired","d8db73d2816fbedc773707a12072637c3f6b8ff0b326d0541993894b4fa94fe8","","inst/tutorial-code/brain-case-study.R","abda2dcc40d77d7b3340150f13195a07d9632b80e472586c07c3c9551f517a7c","486ff6a2926aaf32102775235ec35008bf5c01514d161dbd98d96f4da2dcba4b","https://github.com/zh1peng/neurogeo/edit/main/vignettes/cortical-cartography-zh.Rmd"
"file-backed-io","en","how-to","stable","vignettes/file-backed-io.Rmd","","/en/modules/file-backed-io","File-backed neuroimaging values","/modules/file-backed-io","paired","61788cbc05cf46d9f16be807e5a57ba581757f31e168f46bd2afc33c6b0e630f","","","","e62ffbd6449cc76598435348fbb127e27d745ac84b0df4a7026e0a3c6190e9ba","https://github.com/zh1peng/neurogeo/edit/main/vignettes/file-backed-io.Rmd"
"file-backed-io","zh-CN","how-to","stable","vignettes/file-backed-io-zh.Rmd","","/modules/file-backed-io","Conte69 vertex cohort 的文件后端与分块读取","/en/modules/file-backed-io","paired","a42ce93698d026a4c0e88352c359c6b853b02d004fd7257f3c0fc0d98e285d9d","","inst/tutorial-code/brain-case-study.R","abda2dcc40d77d7b3340150f13195a07d9632b80e472586c07c3c9551f517a7c","02ef008480b1c1a4f4941b10eb1b6ac8bfcc995993a977334d848cdef1780473","https://github.com/zh1peng/neurogeo/edit/main/vignettes/file-backed-io-zh.Rmd"
"interoperability","en","how-to","stable","vignettes/interoperability.Rmd","","/en/modules/interoperability","Interoperability and auditable exchange","/modules/interoperability","paired","aa149477fa4712a20d29ae5b1e0ff7ca86f09b8e2001e45c7600c720fc36ccdb","","","","e9111c6c7d7324086635078aa5e22eec0da04f25947c04a61a695e07566877cc","https://github.com/zh1peng/neurogeo/edit/main/vignettes/interoperability.Rmd"
"interoperability","zh-CN","how-to","stable","vignettes/interoperability-zh.Rmd","","/modules/interoperability","Conte69、DK 与 Schaefer support 的可审计交换","/en/modules/interoperability","paired","0a898406d0b90e34556f395a833b3d22e1b9478d94ec7e0135898845af309b44","","inst/tutorial-code/brain-case-study.R","abda2dcc40d77d7b3340150f13195a07d9632b80e472586c07c3c9551f517a7c","69d63466a4e126e1917716733d61af68eeab1faf55d7cd78685d76fc5e618593","https://github.com/zh1peng/neurogeo/edit/main/vignettes/interoperability-zh.Rmd"
"neighbors-and-weights","en","how-to","stable","vignettes/neighbors-and-weights.Rmd","","/en/tutorials/neighbors-and-weights","Cortical neighbors and weights on a DK68 case-control map","/modules/neighbors-and-weights","paired","0fcf6ccb77c5e9326a2c7b02a245ad88367475dda9f922eb5ea8b152eb354791","","inst/tutorial-code/brain-case-study.R","abda2dcc40d77d7b3340150f13195a07d9632b80e472586c07c3c9551f517a7c","10c8a2bddd9812f120be44ca18d88f326255d9f7e3fcda7fb41767e6ba879774","https://github.com/zh1peng/neurogeo/edit/main/vignettes/neighbors-and-weights.Rmd"
